mimetype	STORED	19	19
version.xml	DEFLATED	287	209
settings.xml	DEFLATED	850	314
META-INF/container.xml	DEFLATED	498	271
META-INF/manifest.xml	DEFLATED	135	115
META-INF/container.rdf	DEFLATED	924	276
Contents/content.hpf	DEFLATED	856	327
Contents/header.xml	DEFLATED	40514	2345
Contents/section0.xml	DEFLATED	83266	7348
Preview/PrvText.txt	DEFLATED	362	285
